Paweł,Nowak1,Informatyka dzienne,Dzienne,459,2000-02-12 00:00:00.000,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,Informatyka magisterskie 4 sem,Dzienne,459,2000-02-12 00:00:00.000,1@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak1,Informatyka doktoranckie,Dzienne,459,2000-02-12 00:00:00.000,1@pjwstk.edu.pl,Alina,Adam
Kaja,Jankowski29,Sztuka Nowych Mediów dzienne,Dzienne,4816,2000-02-12 00:00:00.000,29@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Mediów dzienne,Dzienne,4749,2000-02-12 00:00:00.000,30@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4749,2000-02-12 00:00:00.000,30@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,Sztuka Nowych Mediów dzienne,Dzienne,4432,2000-02-12 00:00:00.000,31@pjwstk.edu.pl,Alina,Adam
Michał,Nowak31,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4432,2000-02-12 00:00:00.000,31@pjwstk.edu.pl,Alina,Adam
Kamil,Brzęczyszczykiewicz32,Sztuka Nowych Mediów dzienne,Dzienne,4757,2000-02-12 00:00:00.000,32@pjwstk.edu.pl,Alina,Adam
Marta,Maciejewski33,Sztuka Nowych Mediów dzienne,Dzienne,4655,2000-02-12 00:00:00.000,33@pjwstk.edu.pl,Alina,Adam
Szymon,Jankowski34,Sztuka Nowych Mediów dzienne,Dzienne,4398,2000-02-12 00:00:00.000,34@pjwstk.edu.pl,Alina,Adam
Zbigniew,Kowalski35,Sztuka Nowych Mediów dzienne,Dzienne,4450,2000-02-12 00:00:00.000,35@pjwstk.edu.pl,Alina,Adam
Karolina,Nowak36,Sztuka Nowych Mediów dzienne,Dzienne,4455,2000-02-12 00:00:00.000,36@pjwstk.edu.pl,Alina,Adam
Joanna,Brzęczyszczykiewicz37,Sztuka Nowych Mediów dzienne,Dzienne,4799,2000-02-12 00:00:00.000,37@pjwstk.edu.pl,Alina,Adam
Joanna,Brzęczyszczykiewicz37,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4799,2000-02-12 00:00:00.000,37@pjwstk.edu.pl,Alina,Adam
Irena,Maciejewski38,Sztuka Nowych Mediów dzienne,Dzienne,4626,2000-02-12 00:00:00.000,38@pjwstk.edu.pl,Alina,Adam
Irena,Maciejewski38,Sztuka Nowych Mediów zaoczne,Zaoczne,4626,2000-02-12 00:00:00.000,38@pjwstk.edu.pl,Alina,Adam
Adam,Jankowski39,Sztuka Nowych Mediów dzienne,Dzienne,4446,2000-02-12 00:00:00.000,39@pjwstk.edu.pl,Alina,Adam
Kacper,Kowalski40,Sztuka Nowych Mediów dzienne,Dzienne,4396,2000-02-12 00:00:00.000,40@pjwstk.edu.pl,Alina,Adam
Kacper,Kowalski40,Sztuka Nowych Mediów uzupełniające magisterskie,Dzienne,4396,2000-02-12 00:00:00.000,40@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak41,Sztuka Nowych Mediów dzienne,Dzienne,4902,2000-02-12 00:00:00.000,41@pjwstk.edu.pl,Alina,Adam
Paweł,Nowak41,Sztuka Nowych Mediów zaoczne,Zaoczne,4902,2000-02-12 00:00:00.000,41@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brzęczyszczykiewicz42,Sztuka Nowych Mediów dzienne,Dzienne,4434,2000-02-12 00:00:00.000,42@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brzęczyszczykiewicz42,Sztuka Nowych Mediów zaoczne,Zaoczne,4434,2000-02-12 00:00:00.000,42@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brzęczyszczykiewicz42,Sztuka Nowych Mediów zaoczne 6 sem.,Zaoczne,4434,2000-02-12 00:00:00.000,42@pjwstk.edu.pl,Alina,Adam
Katarzyna,Maciejewski43,Sztuka Nowych Mediów dzienne,Dzienne,4517,2000-02-12 00:00:00.000,43@pjwstk.edu.pl,Alina,Adam
